No,Page URL,Catagory Tree,Brand Name,Product Name,Description,Listed Price,Discounted Price,Off,Save,Offer,SKU,Manufacturer Number
39,https://www.jarir.com/sa-en/logitech-g433-7-1-surround-headsets-486790.html,Sony PS5 Accessories>Logitech G433 7.1 Surround Gaming Headset,Logitech,Logitech G433 7.1 Surround Gaming Headset,Wired| 3.5 mm Connector/USB| Detachable Microphone| Black,399,369,7%,30,,486790,981000668
40,https://www.jarir.com/sa-en/logitech-headsets-573338.html,Sony PS5 Accessories>Logitech G435 LIGHTSPEED Gaming Headset,Logitech,Logitech G435 LIGHTSPEED Gaming Headset,Wireless| USB (Charging)| Built-in Microphone| Black/Neon Yellow,359,349,2%,10,,573338,981001050
41,https://www.jarir.com/sa-en/astro-a10-mixamp-m60-headsets-486310.html,Xbox Accessories>Astro A10 + MixAmp M60 Gaming Headset,Astro,Astro A10 + MixAmp M60 Gaming Headset,Wired| 3.5 mm Connector/USB| Unidirectional Microphone| Black/Green,599,419,30%,180,,486310,939001528
42,https://www.jarir.com/sa-en/razer-kaira-x-headsets-626256.html,Xbox Accessories>Razer Kaira X Xbox Gaming Headset,Razer,Razer Kaira X Xbox Gaming Headset,Wired| 3.5 mm Connector| Bidirectional Microphone| White,299,179,40%,120,,626256,403970300R3M1
43,https://www.jarir.com/sa-en/logitech-g635-7-1-lightsync-headsets-525743.html,PC Gaming Headset & Speakers>Logitech G635 Lightsync 7.1 Surround Gaming Headset,Logitech,Logitech G635 Lightsync 7.1 Surround Gaming Headset,Noise Cancelling Microphone| Wired| USB| Cardioid - Unidirectional Microphone| Black,449,419,6%,30,,525743,981000750
44,https://www.jarir.com/sa-en/a40-tr-mixamp-m80-headsets-495514.html,Xbox Accessories>Astro A40 TR + MixAmp M80 Gaming Headset,Astro,Astro A40 TR + MixAmp M80 Gaming Headset,Wired| 3.5 mm Connector/USB| Unidirectional Microphone| Military Green,1089,799,26%,290,,495514,939001535
45,https://www.jarir.com/sa-en/astro-a40-headsets-528083.html,Sony PS5 Accessories>Astro A40 TR + MixAmp PRO TR Gaming Headset,Astro,Astro A40 TR + MixAmp PRO TR Gaming Headset,Wired| 3.5 mm Connector/USB| Unidirectional Microphone| Black,1319,999,24%,320,,528083,939001661
46,https://www.jarir.com/sa-en/logitech-headsets-586253.html,PC Gaming Headset & Speakers>Logitech G733 LIGHTSPEED Gaming Headset,Logitech,Logitech G733 LIGHTSPEED Gaming Headset,Wireless| USB| Detachable Microphone| Purple,599,449,25%,150,,586253,981000890
47,https://www.jarir.com/sa-en/razer-v3-x-headsets-591823.html,PC Gaming Headset & Speakers>Razer Kraken V3 X Gaming Headset,Razer,Razer Kraken V3 X Gaming Headset,Passive Noise Isolation| Wired| USB| Retractable/Unidirectional Microphone| Black,349,209,40%,140,,591823,403750100R3M1
48,https://www.jarir.com/sa-en/razer-kraken-headsets-591796.html,PC Gaming Headset & Speakers>Razer Kraken V3 Pro Chroma RGB Gaming Headset,Razer,Razer Kraken V3 Pro Chroma RGB Gaming Headset,Wireless/Wired (Optional)| USB (Charging)| Detachable Microphone| Black,899,585,34%,314,,591796,403460100R3M1
49,https://www.jarir.com/sa-en/razer-v3-headsets-591832.html,PC Gaming Headset & Speakers>Razer Kraken V3 Gaming Headset,Razer,Razer Kraken V3 Gaming Headset,Wired| USB| Detachable Microphone| Black,449,299,33%,150,,591832,403770200R3M1
50,https://www.jarir.com/sa-en/logitech-g335-headsets-588218.html,Sony PS5 Accessories>Logitech G335 Gaming Headset,Logitech,Logitech G335 Gaming Headset,Wired| 3.5 mm Connector| Rotating Cardioid Microphone| Mint,299,219,26%,80,,588218,981001024
51,https://www.jarir.com/sa-en/astro-a50-headsets-534790.html,Sony PS5 Accessories>Astro A50 + Gen 4 Gaming Headset,Astro,Astro A50 + Gen 4 Gaming Headset,Wireless/Wired (Optional)| 3.5 mm Connector/USB (Charging)| Unidirectional Microphone| Black,1449,1199,17%,250,,534790,939001676
52,https://www.jarir.com/sa-en/astro-a50-headsets-538509.html,Xbox Accessories>Astro A50 + Base Station Gen 4 Gaming Headset,Astro,Astro A50 + Base Station Gen 4 Gaming Headset,Wireless| USB (Charging)| Unidirectional Microphone| Black,1449,1169,19%,280,,538509,939001682
53,https://www.jarir.com/sa-en/razer-kaira-x-headsets-621996.html,Sony PS5 Accessories>Razer Kaira X PlayStation Licensed Gaming Headset,Razer,Razer Kaira X PlayStation Licensed Gaming Headset,Wired| 3.5 mm Connector| Bidirectional Microphone| White,299,175,41%,124,,621996,403970700R3G1
54,https://www.jarir.com/sa-en/logitech-headsets-567990.html,PC Gaming Headset & Speakers>Logitech G Pro Gaming Headset,Logitech,Logitech G Pro Gaming Headset,Wired| USB| Detachable Microphone| Black,489,299,38%,190,,567990,981000812
55,https://www.jarir.com/sa-en/steelseries-arctis-nova-pro-renewed-headsets-636736.html,PC Gaming Headset & Speakers>Renewed Grade B SteelSeries Arctis Nova Pro PlayStation 4,SteelSeries,Renewed Grade B SteelSeries Arctis Nova Pro PlayStation 4,PlayStation 5| PC| Switch Gaming Headset| Active Noise Cancelling| Bluetooth/Wireless| USB-C| Retractable Microphone|,1799,749,58%,1050,,636736,61520RB
56,https://www.jarir.com/sa-en/steelseries-arctis-nova-7p-renewed-headsets-638240.html,Sony PS5 Accessories>Renewed Grade B SteelSeries Arctis Nova 7P Gaming Headset,SteelSeries,Renewed Grade B SteelSeries Arctis Nova 7P Gaming Headset,Noise Cancelling Microphone| Bluetooth/Wireless| USB (Charging)| Retractable/Bidirectional Microphone| Black,959,399,58%,560,,638240,61559RB
57,https://www.jarir.com/sa-en/logitech-pro-x2-renewed-headsets-639843.html,Sony PS5 Accessories>Renewed Grade A Logitech PRO X 2 LIGHTSPEED Gaming Headset,Logitech,Renewed Grade A Logitech PRO X 2 LIGHTSPEED Gaming Headset,Wireless| USB| Detachable Microphone| Black,1159,599,48%,560,,639843,981001263RA
58,https://www.jarir.com/sa-en/corsair-hs55-7-1-surround-renewed-headsets-640563.html,PC Gaming Headset & Speakers>Renewed Grade B CORSAIR HS55 7.1 Surround Gaming Headset,CORSAIR,Renewed Grade B CORSAIR HS55 7.1 Surround Gaming Headset,Wireless| USB (Charging)| Rotating Microphone| Carbon,569,149,73%,420,,640563,CA9011280EURB
59,https://www.jarir.com/sa-en/logitech-g-pro-x-renewed-headsets-638225.html,PC Gaming Headset & Speakers>Renewed Grade B Logitech G Pro X Gaming Headset,Logitech,Renewed Grade B Logitech G Pro X Gaming Headset,Wired| USB| Detachable Microphone| Black,629,279,55%,350,,638225,981000818RB
60,https://www.jarir.com/sa-en/astro-a50-renewed-headsets-636434.html,Sony PS5 Accessories>Renewed Grade B Astro A50 + Gen 4 Gaming Headset,Astro,Renewed Grade B Astro A50 + Gen 4 Gaming Headset,Wireless/Wired (Optional)| 3.5 mm Connector/USB (Charging)| Unidirectional Microphone| Black,1199,849,29%,350,,636434,939001676RB
