No,Page URL,Catagory Tree,Brand Name,Product Name,Description,Listed Price,Discounted Price,Off,Save,Offer,SKU,Manufacturer Number
46,https://www.jarir.com/sa-en/glorious-mouse-543029.html,Mouse & Accessories>Glorious Model D Gaming Mouse,Glorious,Glorious Model D Gaming Mouse,Optical Pixart PMW 3360 12000 dpi| Wired| Glossy Black,299,129,56%,170,,543029,352211
47,https://www.jarir.com/sa-en/logitech-g-mouse-522031.html,Mouse & Accessories>Logitech G Pro Gaming Mouse,Logitech,Logitech G Pro Gaming Mouse,Optical HERO 100-16000 dpi| Wireless (2.4 GHz RF)| Black,439,319,27%,120,,522031,910005273
48,https://www.jarir.com/sa-en/logitech-g705-mouse-591923.html,Mouse & Accessories>Logitech G705 LIGHTSPEED Gaming Mouse,Logitech,Logitech G705 LIGHTSPEED Gaming Mouse,Optical 100-8200 dpi| Wireless (2.4 GHz RF)| White,399,289,27%,110,,591923,910006368
49,https://www.jarir.com/sa-en/marvo-g961-mouse-538173.html,Mouse & Accessories>MARVO Scorpion G961 Honey Comb Gaming Mouse,MARVO,MARVO Scorpion G961 Honey Comb Gaming Mouse,Optical Pixart 3389 16000 dpi| Wired| Black,129,99,23%,30,,538173,G961
50,https://www.jarir.com/sa-en/logitech-g915-keyboard-mouse-combo-565653.html,Keyboards & Accessories>Logitech G915 TKL LIGHTSPEED RGB Mechanical Gaming Keyboard,Logitech,Logitech G915 TKL LIGHTSPEED RGB Mechanical Gaming Keyboard,Bluetooth/Wireless (2.4 GHz RF)| for Devices with Windows/macOS| White,999,775,22%,224,,565653,920009664
51,https://www.jarir.com/sa-en/logitech-g513-keyboard-mouse-combo-510391.html,Keyboards & Accessories>Logitech G513 Carbon RGB Mechanical Gaming Keyboard,Logitech,Logitech G513 Carbon RGB Mechanical Gaming Keyboard,Wired| for Laptop/Desktop Computer/Gaming Desktop Computer/CPU Windows OS| Dark Silver,719,539,25%,180,,510391,920008934
52,https://www.jarir.com/sa-en/logitech-keyboard-mouse-combo-567991.html,Keyboards & Accessories>Logitech G512 Carbon GX Blue (Clicky) Gaming Keyboard,Logitech,Logitech G512 Carbon GX Blue (Clicky) Gaming Keyboard,Wired| for Laptop/Desktop Computer/Gaming Desktop Computer/CPU Windows OS| Black,549,399,27%,150,,567991,920008946
53,https://www.jarir.com/sa-en/logitech-g413-keyboard-mouse-combo-614524.html,Keyboards & Accessories>Logitech G413 SE Arabic/English Gaming Keyboard,Logitech,Logitech G413 SE Arabic/English Gaming Keyboard,Wired| for Devices with Windows/macOS| Dark Silver,399,289,27%,110,,614524,920010806
54,https://www.jarir.com/sa-en/apple-magic-renewed-keyboard-mouse-combo-656218.html,MAC Cases & Accessories>Renewed Grade B Apple Magic Keyboard,Apple,Renewed Grade B Apple Magic Keyboard,Bluetooth| for MacBook Air 13 M1/MacBook Pro 13 M1/Mac mini M1/iMac M1| Black,999,699,30%,300,,656218,MMMR3ABARB
55,https://www.jarir.com/sa-en/apple-magic-renewed-keyboard-mouse-combo-655833.html,MAC Cases & Accessories>Renewed Grade A Apple Magic Keyboard,Apple,Renewed Grade A Apple Magic Keyboard,Bluetooth| for MacBook Air 13 M1/MacBook Pro 13 M1/Mac mini M1/iMac M1| Black,999,749,25%,250,,655833,MXK83ABARA
